Time [s],Channel 0,Channel 1,resp_gpio10,ce,csn,sck,miso,mosi
0.230101917,1,1,0,1,0,1,1,0
0.230102083,1,1,0,1,0,0,0,0
0.230109833,1,1,0,1,1,0,0,0
0.230201917,1,1,0,1,0,0,0,0
0.230219500,1,1,0,1,0,1,0,0
0.230219667,1,1,0,1,0,0,0,0
0.230219750,1,1,0,1,0,1,0,0
0.230219917,1,1,0,1,0,0,0,0
0.230220000,1,1,0,1,0,1,0,0
0.230220167,1,1,0,1,0,0,0,1
0.230220250,1,1,0,1,0,1,0,1
0.230220417,1,1,0,1,0,0,1,0
0.230220583,1,1,0,1,0,1,1,0
0.230220667,1,1,0,1,0,0,1,1
0.230220833,1,1,0,1,0,1,1,1
0.230220917,1,1,0,1,0,0,1,1
0.230221083,1,1,0,1,0,1,1,1
0.230221167,1,1,0,1,0,0,0,1
0.230221333,1,1,0,1,0,1,0,1
0.230221417,1,1,0,1,0,0,0,0
0.230233583,1,1,0,1,0,1,0,0
0.230233750,1,1,0,1,0,0,0,0
0.230233833,1,1,0,1,0,1,0,0
0.230234000,1,1,0,1,0,0,0,0
0.230234167,1,1,0,1,0,1,0,0
0.230234250,1,1,0,1,0,0,1,0
0.230234417,1,1,0,1,0,1,1,0
0.230234500,1,1,0,1,0,0,0,0
0.230234667,1,1,0,1,0,1,0,0
0.230234750,1,1,0,1,0,0,0,0
0.230234917,1,1,0,1,0,1,0,0
0.230235000,1,1,0,1,0,0,0,0
0.230235167,1,1,0,1,0,1,0,0
0.230235250,1,1,0,1,0,0,0,0
0.230235333,1,1,0,1,0,0,1,0
0.230235417,1,1,0,1,0,1,1,0
0.230235500,1,1,0,1,0,0,1,0
0.230235583,1,1,0,1,0,0,0,0
0.230242417,1,1,0,1,1,0,0,0
0.230332167,1,1,0,1,0,0,0,0
0.230349833,1,1,0,1,0,1,0,0
0.230349917,1,1,0,1,0,0,0,0
0.230350083,1,1,0,1,0,1,0,0
0.230350167,1,1,0,1,0,0,0,0
0.230350333,1,1,0,1,0,1,0,0
0.230350417,1,1,0,1,0,0,0,1
0.230350583,1,1,0,1,0,1,0,1
0.230350667,1,1,0,1,0,0,0,0
0.230350750,1,1,0,1,0,0,1,0
0.230350833,1,1,0,1,0,1,1,0
0.230350917,1,1,0,1,0,0,1,1
0.230351083,1,1,0,1,0,1,1,1
0.230351250,1,1,0,1,0,0,1,1
0.230351333,1,1,0,1,0,1,1,1
0.230351500,1,1,0,1,0,0,0,1
0.230351583,1,1,0,1,0,1,0,1
0.230351750,1,1,0,1,0,0,0,0
0.230362667,1,1,0,1,0,1,0,0
0.230362833,1,1,0,1,0,0,0,0
0.230362917,1,1,0,1,0,1,0,0
0.230363083,1,1,0,1,0,0,0,0
0.230363167,1,1,0,1,0,1,0,0
0.230363333,1,1,0,1,0,0,1,0
0.230363417,1,1,0,1,0,1,1,0
0.230363583,1,1,0,1,0,0,0,0
0.230363667,1,1,0,1,0,1,0,0
0.230363833,1,1,0,1,0,0,0,0
0.230363917,1,1,0,1,0,1,0,0
0.230364083,1,1,0,1,0,0,0,0
0.230364250,1,1,0,1,0,1,0,0
0.230364333,1,1,0,1,0,0,1,0
0.230364500,1,1,0,1,0,1,1,0
0.230364583,1,1,0,1,0,0,0,0
0.230371500,1,1,0,1,1,0,0,0
0.230461667,1,1,0,1,0,0,0,0
0.230480833,1,1,0,1,0,1,0,0
0.230481000,1,1,0,1,0,0,0,0
0.230481083,1,1,0,1,0,1,0,0
0.230481250,1,1,0,1,0,0,0,0
0.230481333,1,1,0,1,0,1,0,0
0.230481500,1,1,0,1,0,0,0,1
0.230481667,1,1,0,1,0,1,0,1
0.230481750,1,1,0,1,0,0,1,0
0.230481917,1,1,0,1,0,1,1,0
0.230482000,1,1,0,1,0,0,1,1
0.230482167,1,1,0,1,0,1,1,1
0.230482250,1,1,0,1,0,0,1,1
0.230482417,1,1,0,1,0,1,1,1
0.230482500,1,1,0,1,0,0,1,1
0.230482583,1,1,0,1,0,0,0,1
0.230482667,1,1,0,1,0,1,0,1
0.230482750,1,1,0,1,0,0,0,0
0.230492917,1,1,0,1,0,1,0,0
0.230493000,1,1,0,1,0,0,0,0
0.230493167,1,1,0,1,0,1,0,0
0.230493333,1,1,0,1,0,0,0,0
0.230493417,1,1,0,1,0,1,0,0
0.230493583,1,1,0,1,0,0,1,0
0.230493667,1,1,0,1,0,1,1,0
0.230493833,1,1,0,1,0,0,0,0
0.230493917,1,1,0,1,0,1,0,0
0.230494083,1,1,0,1,0,0,0,0
0.230494167,1,1,0,1,0,1,0,0
0.230494333,1,1,0,1,0,0,0,0
0.230494417,1,1,0,1,0,1,0,0
0.230494583,1,1,0,1,0,0,1,0
0.230494667,1,1,0,1,0,1,1,0
0.230494833,1,1,0,1,0,0,0,0
0.230502583,1,1,0,1,1,0,0,0
0.230602000,1,1,0,1,0,0,0,0
0.230620333,1,1,0,1,0,1,0,0
0.230620500,1,1,0,1,0,0,0,0
0.230620667,1,1,0,1,0,1,0,0
0.230620750,1,1,0,1,0,0,0,0
0.230620917,1,1,0,1,0,1,0,0
0.230621000,1,1,0,1,0,0,0,1
0.230621167,1,1,0,1,0,1,0,1
0.230621250,1,1,0,1,0,0,1,0
0.230621417,1,1,0,1,0,1,1,0
0.230621500,1,1,0,1,0,0,1,1
0.230621667,1,1,0,1,0,1,1,1
0.230621750,1,1,0,1,0,0,1,1
0.230621917,1,1,0,1,0,1,1,1
0.230622000,1,1,0,1,0,0,1,1
0.230622083,1,1,0,1,0,0,0,1
0.230622167,1,1,0,1,0,1,0,1
0.230622333,1,1,0,1,0,0,0,0
0.230633250,1,1,0,1,0,1,0,0
0.230633333,1,1,0,1,0,0,0,0
0.230633500,1,1,0,1,0,1,0,0
0.230633667,1,1,0,1,0,0,0,0
0.230633750,1,1,0,1,0,1,0,0
0.230633917,1,1,0,1,0,0,1,0
0.230634000,1,1,0,1,0,1,1,0
0.230634167,1,1,0,1,0,0,0,0
0.230634250,1,1,0,1,0,1,0,0
0.230634417,1,1,0,1,0,0,0,0
0.230634500,1,1,0,1,0,1,0,0
0.230634667,1,1,0,1,0,0,0,0
0.230634750,1,1,0,1,0,1,0,0
0.230634917,1,1,0,1,0,0,1,0
0.230635000,1,1,0,1,0,1,1,0
0.230635167,1,1,0,1,0,0,0,0
0.230640833,1,1,0,1,1,0,0,0
0.230729417,1,1,0,1,0,0,0,0
0.230744167,1,1,0,1,0,1,0,0
0.230744333,1,1,0,1,0,0,0,0
0.230744417,1,1,0,1,0,1,0,0
0.230744583,1,1,0,1,0,0,0,0
0.230744667,1,1,0,1,0,1,0,0
0.230744833,1,1,0,1,0,0,0,1
0.230744917,1,1,0,1,0,1,0,1
0.230745083,1,1,0,1,0,0,1,0
0.230745167,1,1,0,1,0,1,1,0
0.230745333,1,1,0,1,0,0,1,1
0.230745500,1,1,0,1,0,1,1,1
0.230745583,1,1,0,1,0,0,1,1
0.230745750,1,1,0,1,0,1,1,1
0.230745833,1,1,0,1,0,0,0,1
0.230746000,1,1,0,1,0,1,0,1
0.230746083,1,1,0,1,0,0,0,0
0.230757833,1,1,0,1,0,1,0,0
0.230758000,1,1,0,1,0,0,0,0
0.230758083,1,1,0,1,0,1,0,0
0.230758250,1,1,0,1,0,0,0,0
0.230758333,1,1,0,1,0,1,0,0
0.230758500,1,1,0,1,0,0,1,0
0.230758583,1,1,0,1,0,1,1,0
0.230758750,1,1,0,1,0,0,0,0
0.230758833,1,1,0,1,0,1,0,0
0.230759000,1,1,0,1,0,0,0,0
0.230759083,1,1,0,1,0,1,0,0
0.230759250,1,1,0,1,0,0,0,0
0.230759417,1,1,0,1,0,1,0,0
0.230759500,1,1,0,1,0,0,1,0
0.230759667,1,1,0,1,0,1,1,0
0.230759750,1,1,0,1,0,0,0,0
0.230766250,1,1,0,1,1,0,0,0
0.230856833,1,1,0,1,0,0,0,0
0.230873250,1,1,0,1,0,1,0,0
0.230873333,1,1,0,1,0,0,0,0
0.230873500,1,1,0,1,0,1,0,0
0.230873583,1,1,0,1,0,0,0,0
0.230873750,1,1,0,1,0,1,0,0
0.230873833,1,1,0,1,0,0,0,1
0.230874000,1,1,0,1,0,1,0,1
0.230874083,1,1,0,1,0,0,0,0
0.230874167,1,1,0,1,0,0,1,0
